Well,SampleID,Content,Plate,Date,Dilution,ul_dna_eluted,mL_sample
B09,CC-1-30,Unkn-10,2,9-Jul-24,0.1,100,229.5
B10,CC-3-31,Unkn-18,2,9-Jul-24,0.1,100,261.7
B11,CC-3-31,Unkn-18,2,9-Jul-24,0.1,100,261.7
B12,CC-3-31,Unkn-18,2,9-Jul-24,0.1,100,261.7
C04,WC-6-28,Unkn-03,2,9-Jul-24,0.1,100,264.9
C05,WC-6-28,Unkn-03,2,9-Jul-24,0.1,100,264.9
C06,WC-6-28,Unkn-03,2,9-Jul-24,0.1,100,264.9
C07,CC-2-30,Unkn-11,2,9-Jul-24,0.1,100,257.6
C08,CC-2-30,Unkn-11,2,9-Jul-24,0.1,100,257.6
C09,CC-2-30,Unkn-11,2,9-Jul-24,0.1,100,257.6
C10,WC-4-31,Unkn-19,2,9-Jul-24,0.1,100,278.1
C11,WC-4-31,Unkn-19,2,9-Jul-24,0.1,100,278.1
C12,WC-4-31,Unkn-19,2,9-Jul-24,0.1,100,278.1
D04,CC-1-29,Unkn-04,2,9-Jul-24,0.1,100,277.3
D05,CC-1-29,Unkn-04,2,9-Jul-24,0.1,100,277.3
D06,CC-1-29,Unkn-04,2,9-Jul-24,0.1,100,277.3
D07,CC-3-30,Unkn-12,2,9-Jul-24,0.1,100,238.8
D08,CC-3-30,Unkn-12,2,9-Jul-24,0.1,100,238.8
D09,CC-3-30,Unkn-12,2,9-Jul-24,0.1,100,238.8
D10,WC-5-31,Unkn-20,2,9-Jul-24,0.1,100,255.2
D11,WC-5-31,Unkn-20,2,9-Jul-24,0.1,100,255.2
D12,WC-5-31,Unkn-20,2,9-Jul-24,0.1,100,255.2
E04,CC-2-29,Unkn-05,2,9-Jul-24,0.1,100,271.5
E05,CC-2-29,Unkn-05,2,9-Jul-24,0.1,100,271.5
E06,CC-2-29,Unkn-05,2,9-Jul-24,0.1,100,271.5
E07,WC-4-30,Unkn-13,2,9-Jul-24,0.1,100,260.7
E08,WC-4-30,Unkn-13,2,9-Jul-24,0.1,100,260.7
E09,WC-4-30,Unkn-13,2,9-Jul-24,0.1,100,260.7
E10,WC-6-31,Unkn-21,2,9-Jul-24,0.1,100,269.5
E11,WC-6-31,Unkn-21,2,9-Jul-24,0.1,100,269.5
E12,WC-6-31,Unkn-21,2,9-Jul-24,0.1,100,269.5
F04,CC-3-29,Unkn-06,2,9-Jul-24,0.1,100,261.5
F05,CC-3-29,Unkn-06,2,9-Jul-24,0.1,100,261.5
F06,CC-3-29,Unkn-06,2,9-Jul-24,0.1,100,261.5
F07,WC-5-30,Unkn-14,2,9-Jul-24,0.1,100,251
F08,WC-5-30,Unkn-14,2,9-Jul-24,0.1,100,251
F09,WC-5-30,Unkn-14,2,9-Jul-24,0.1,100,251
F10,CC-1-32,Unkn-22,2,9-Jul-24,0.1,100,260.3
F11,CC-1-32,Unkn-22,2,9-Jul-24,0.1,100,260.3
F12,CC-1-32,Unkn-22,2,9-Jul-24,0.1,100,260.3
G04,WC-4-29,Unkn-07,2,9-Jul-24,0.1,100,249.1
G05,WC-4-29,Unkn-07,2,9-Jul-24,0.1,100,249.1
G06,WC-4-29,Unkn-07,2,9-Jul-24,0.1,100,249.1
G07,WC-6-30,Unkn-15,2,9-Jul-24,0.1,100,266.8
G08,WC-6-30,Unkn-15,2,9-Jul-24,0.1,100,266.8
G09,WC-6-30,Unkn-15,2,9-Jul-24,0.1,100,266.8
G10,CC-2-32,Unkn-23,2,9-Jul-24,0.1,100,259.4
G11,CC-2-32,Unkn-23,2,9-Jul-24,0.1,100,259.4
G12,CC-2-32,Unkn-23,2,9-Jul-24,0.1,100,259.4
H04,WC-5-29,Unkn-08,2,9-Jul-24,0.1,100,247.8
H05,WC-5-29,Unkn-08,2,9-Jul-24,0.1,100,247.8
H06,WC-5-29,Unkn-08,2,9-Jul-24,0.1,100,247.8
H07,CC-1-31,Unkn-16,2,9-Jul-24,0.1,100,249.2
H08,CC-1-31,Unkn-16,2,9-Jul-24,0.1,100,249.2
H09,CC-1-31,Unkn-16,2,9-Jul-24,0.1,100,249.2
H10,CC-3-32,Unkn-24,2,9-Jul-24,0.1,100,261.7
H11,CC-3-32,Unkn-24,2,9-Jul-24,0.1,100,261.7
H12,CC-3-32,Unkn-24,2,9-Jul-24,0.1,100,261.7
A04,CC-1-33,Unkn-01,3,9-Jul-24,0.1,100,261.8
A05,CC-1-33,Unkn-01,3,9-Jul-24,0.1,100,261.8
A06,CC-1-33,Unkn-01,3,9-Jul-24,0.1,100,261.8
A07,CC-3-35,Unkn-09,3,9-Jul-24,0.1,100,253.3
A08,CC-3-35,Unkn-09,3,9-Jul-24,0.1,100,253.3
A09,CC-3-35,Unkn-09,3,9-Jul-24,0.1,100,253.3
A10,CC-2-38,Unkn-17,3,9-Jul-24,0.1,100,258.2
A11,CC-2-38,Unkn-17,3,9-Jul-24,0.1,100,258.2
A12,CC-2-38,Unkn-17,3,9-Jul-24,0.1,100,258.2
B04,CC-2-33,Unkn-02,3,9-Jul-24,0.1,100,267.3
B05,CC-2-33,Unkn-02,3,9-Jul-24,0.1,100,267.3
B06,CC-2-33,Unkn-02,3,9-Jul-24,0.1,100,267.3
B07,CC-1-36,Unkn-10,3,9-Jul-24,0.1,100,247.4
B08,CC-1-36,Unkn-10,3,9-Jul-24,0.1,100,247.4
B09,CC-1-36,Unkn-10,3,9-Jul-24,0.1,100,247.4
B10,CC-3-38,Unkn-18,3,9-Jul-24,0.1,100,269.6
B11,CC-3-38,Unkn-18,3,9-Jul-24,0.1,100,269.6
B12,CC-3-38,Unkn-18,3,9-Jul-24,0.1,100,269.6
C04,CC-3-33,Unkn-03,3,9-Jul-24,0.1,100,265.6
C05,CC-3-33,Unkn-03,3,9-Jul-24,0.1,100,265.6
C06,CC-3-33,Unkn-03,3,9-Jul-24,0.1,100,265.6
C07,CC-2-36,Unkn-11,3,9-Jul-24,0.1,100,246.9
C08,CC-2-36,Unkn-11,3,9-Jul-24,0.1,100,246.9
C09,CC-2-36,Unkn-11,3,9-Jul-24,0.1,100,246.9
C10,WC-6-2,Unkn-19,3,9-Jul-24,0.1,100,250
C11,WC-6-2,Unkn-19,3,9-Jul-24,0.1,100,250
C12,WC-6-2,Unkn-19,3,9-Jul-24,0.1,100,250
D04,CC-1-34,Unkn-04,3,9-Jul-24,0.1,100,260.6
D05,CC-1-34,Unkn-04,3,9-Jul-24,0.1,100,260.6
D06,CC-1-34,Unkn-04,3,9-Jul-24,0.1,100,260.6
D07,CC-3-36,Unkn-12,3,9-Jul-24,0.1,100,293.4
D08,CC-3-36,Unkn-12,3,9-Jul-24,0.1,100,293.4
D09,CC-3-36,Unkn-12,3,9-Jul-24,0.1,100,293.4
D10,WC-5-2,Unkn-20,3,9-Jul-24,0.1,100,260
D11,WC-5-2,Unkn-20,3,9-Jul-24,0.1,100,260
D12,WC-5-2,Unkn-20,3,9-Jul-24,0.1,100,260
E04,CC-2-34,Unkn-05,3,9-Jul-24,0.1,100,261.1
E05,CC-2-34,Unkn-05,3,9-Jul-24,0.1,100,261.1
E06,CC-2-34,Unkn-05,3,9-Jul-24,0.1,100,261.1
E07,CC-1-37,Unkn-13,3,9-Jul-24,0.1,100,243.3
E08,CC-1-37,Unkn-13,3,9-Jul-24,0.1,100,243.3
E09,CC-1-37,Unkn-13,3,9-Jul-24,0.1,100,243.3
E10,WC-4-2,Unkn-21,3,9-Jul-24,0.1,100,250
E11,WC-4-2,Unkn-21,3,9-Jul-24,0.1,100,250
E12,WC-4-2,Unkn-21,3,9-Jul-24,0.1,100,250
F04,CC-3-34,Unkn-06,3,9-Jul-24,0.1,100,252.6
F05,CC-3-34,Unkn-06,3,9-Jul-24,0.1,100,252.6
F06,CC-3-34,Unkn-06,3,9-Jul-24,0.1,100,252.6
F07,CC-2-37,Unkn-14,3,9-Jul-24,0.1,100,245.3
F08,CC-2-37,Unkn-14,3,9-Jul-24,0.1,100,245.3
F09,CC-2-37,Unkn-14,3,9-Jul-24,0.1,100,245.3
F10,CC-3-2,Unkn-22,3,9-Jul-24,0.1,100,250
F11,CC-3-2,Unkn-22,3,9-Jul-24,0.1,100,250
F12,CC-3-2,Unkn-22,3,9-Jul-24,0.1,100,250
G04,CC-1-35,Unkn-07,3,9-Jul-24,0.1,100,419.2
G05,CC-1-35,Unkn-07,3,9-Jul-24,0.1,100,419.2
G06,CC-1-35,Unkn-07,3,9-Jul-24,0.1,100,419.2
G07,CC-3-37,Unkn-15,3,9-Jul-24,0.1,100,246.2
G08,CC-3-37,Unkn-15,3,9-Jul-24,0.1,100,246.2
G09,CC-3-37,Unkn-15,3,9-Jul-24,0.1,100,246.2
G10,CC-2-2,Unkn-23,3,9-Jul-24,0.1,100,270
G11,CC-2-2,Unkn-23,3,9-Jul-24,0.1,100,270
G12,CC-2-2,Unkn-23,3,9-Jul-24,0.1,100,270
H04,CC-2-35,Unkn-08,3,9-Jul-24,0.1,100,244.49
H05,CC-2-35,Unkn-08,3,9-Jul-24,0.1,100,244.49
H06,CC-2-35,Unkn-08,3,9-Jul-24,0.1,100,244.49
H07,CC-1-38,Unkn-16,3,9-Jul-24,0.1,100,278.9
H08,CC-1-38,Unkn-16,3,9-Jul-24,0.1,100,278.9
H09,CC-1-38,Unkn-16,3,9-Jul-24,0.1,100,278.9
H10,CC-1-2,Unkn-24,3,9-Jul-24,0.1,100,270
H11,CC-1-2,Unkn-24,3,9-Jul-24,0.1,100,270
H12,CC-1-2,Unkn-24,3,9-Jul-24,0.1,100,270
A04,WC-6-3,Unkn-01,4,9-Jul-24,0.1,100,250
A05,WC-6-3,Unkn-01,4,9-Jul-24,0.1,100,250
A06,WC-6-3,Unkn-01,4,9-Jul-24,0.1,100,250
A07,CC-3-4,Unkn-09,4,9-Jul-24,0.1,100,260
A08,CC-3-4,Unkn-09,4,9-Jul-24,0.1,100,260
A09,CC-3-4,Unkn-09,4,9-Jul-24,0.1,100,260
A10,NaN,Unkn-17,4,9-Jul-24,0.1,100,
A11,NaN,Unkn-17,4,9-Jul-24,0.1,100,
A12,NaN,Unkn-17,4,9-Jul-24,0.1,100,
B04,WC-5-3,Unkn-02,4,9-Jul-24,0.1,100,250
B05,WC-5-3,Unkn-02,4,9-Jul-24,0.1,100,250
B06,WC-5-3,Unkn-02,4,9-Jul-24,0.1,100,250
B07,WC-4-4,Unkn-10,4,9-Jul-24,0.1,100,270
B08,WC-4-4,Unkn-10,4,9-Jul-24,0.1,100,270
B09,WC-4-4,Unkn-10,4,9-Jul-24,0.1,100,270
B10,NaN,Unkn-18,4,9-Jul-24,0.1,100,
B11,NaN,Unkn-18,4,9-Jul-24,0.1,100,
B12,NaN,Unkn-18,4,9-Jul-24,0.1,100,
C04,WC-4-3,Unkn-03,4,9-Jul-24,0.1,100,260
C05,WC-4-3,Unkn-03,4,9-Jul-24,0.1,100,260
C06,WC-4-3,Unkn-03,4,9-Jul-24,0.1,100,260
C07,WC-5-4,Unkn-11,4,9-Jul-24,0.1,100,250
C08,WC-5-4,Unkn-11,4,9-Jul-24,0.1,100,250
C09,WC-5-4,Unkn-11,4,9-Jul-24,0.1,100,250
C10,NaN,Unkn-19,4,9-Jul-24,0.1,100,
C11,NaN,Unkn-19,4,9-Jul-24,0.1,100,
C12,NaN,Unkn-19,4,9-Jul-24,0.1,100,
D04,CC-3-3,Unkn-04,4,9-Jul-24,0.1,100,270
D05,CC-3-3,Unkn-04,4,9-Jul-24,0.1,100,270
D06,CC-3-3,Unkn-04,4,9-Jul-24,0.1,100,270
D07,WC-6-4,Unkn-12,4,9-Jul-24,0.1,100,270
D08,WC-6-4,Unkn-12,4,9-Jul-24,0.1,100,270
D09,WC-6-4,Unkn-12,4,9-Jul-24,0.1,100,270
D10,NaN,Unkn-20,4,9-Jul-24,0.1,100,
D11,NaN,Unkn-20,4,9-Jul-24,0.1,100,
D12,NaN,Unkn-20,4,9-Jul-24,0.1,100,
E04,CC-2-3,Unkn-05,4,9-Jul-24,0.1,100,250
E05,CC-2-3,Unkn-05,4,9-Jul-24,0.1,100,250
E06,CC-2-3,Unkn-05,4,9-Jul-24,0.1,100,250
E07,NaN,Unkn-13,4,9-Jul-24,0.1,100,
E08,NaN,Unkn-13,4,9-Jul-24,0.1,100,
E09,NaN,Unkn-13,4,9-Jul-24,0.1,100,
E10,NaN,Unkn-21,4,9-Jul-24,0.1,100,
E11,NaN,Unkn-21,4,9-Jul-24,0.1,100,
E12,NaN,Unkn-21,4,9-Jul-24,0.1,100,
F04,CC-1-3,Unkn-06,4,9-Jul-24,0.1,100,260
F05,CC-1-3,Unkn-06,4,9-Jul-24,0.1,100,260
F06,CC-1-3,Unkn-06,4,9-Jul-24,0.1,100,260
F07,NaN,Unkn-14,4,9-Jul-24,0.1,100,
F08,NaN,Unkn-14,4,9-Jul-24,0.1,100,
F09,NaN,Unkn-14,4,9-Jul-24,0.1,100,
F10,NaN,Unkn-22,4,9-Jul-24,0.1,100,
F11,NaN,Unkn-22,4,9-Jul-24,0.1,100,
F12,NaN,Unkn-22,4,9-Jul-24,0.1,100,
G04,CC-1-4,Unkn-07,4,9-Jul-24,0.1,100,260
G05,CC-1-4,Unkn-07,4,9-Jul-24,0.1,100,260
G06,CC-1-4,Unkn-07,4,9-Jul-24,0.1,100,260
G07,NaN,Unkn-15,4,9-Jul-24,0.1,100,
G08,NaN,Unkn-15,4,9-Jul-24,0.1,100,
G09,NaN,Unkn-15,4,9-Jul-24,0.1,100,
G10,NaN,Unkn-23,4,9-Jul-24,0.1,100,
G11,NaN,Unkn-23,4,9-Jul-24,0.1,100,
G12,NaN,Unkn-23,4,9-Jul-24,0.1,100,
H04,CC-2-4,Unkn-08,4,9-Jul-24,0.1,100,270
H05,CC-2-4,Unkn-08,4,9-Jul-24,0.1,100,270
H06,CC-2-4,Unkn-08,4,9-Jul-24,0.1,100,270
H07,NaN,Unkn-16,4,9-Jul-24,0.1,100,
H08,NaN,Unkn-16,4,9-Jul-24,0.1,100,
H09,NaN,Unkn-16,4,9-Jul-24,0.1,100,
H10,NaN,Unkn-24,4,9-Jul-24,0.1,100,
H11,NaN,Unkn-24,4,9-Jul-24,0.1,100,
H12,NaN,Unkn-24,4,9-Jul-24,0.1,100,
