Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,Unnamed: 8,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
B05,Unkn-02,24.1142265916777,24.4429792291137,1.14547855957514,104518.943397715,5.01919501071027,99410.3576086575,61348.5995259004,WC-5-16W,2,24-Jan-25,0.1,100,85,,104518.94339770832,522594.7169885416,52259471.698854156,614817.3141041666,584766.8094626673,360874.11485823174
B06,Unkn-02,23.4978230300656,24.4429792291137,1.14547855957514,158044.931570904,5.19878057277235,99410.3576086575,61348.5995259004,WC-5-16W,2,24-Jan-25,0.1,100,85,,158044.93157090058,790224.6578545028,79022465.78545028,929676.068064121,584766.8094626673,360874.11485823174
B07,Unkn-10,25.9506384214735,25.2451990318401,0.61097161389561,30490.686023947,4.4841671958663,51503.472834378,18200.1157120152,WC-6-21W,2,24-Jan-25,0.1,100,75,,30490.686023944872,152453.43011972436,15245343.011972437,203271.2401596325,343356.485562507,121334.10474676927
B08,Unkn-10,24.8852154777568,25.2451990318401,0.61097161389561,62312.033040015,4.79457192110962,51503.472834378,18200.1157120152,WC-6-21W,2,24-Jan-25,0.1,100,75,,62312.03304001279,311560.16520006396,31156016.520006396,415413.55360008526,343356.485562507,121334.10474676927
B09,Unkn-10,24.8997431962899,25.2451990318401,0.61097161389561,61707.699439172,4.79033935552965,51503.472834378,18200.1157120152,WC-6-21W,2,24-Jan-25,0.1,100,75,,61707.69943917049,308538.4971958524,30853849.71958524,411384.6629278032,343356.485562507,121334.10474676927
B10,Unkn-18,29.0377869790849,29.1721754865021,0.200235266020236,3843.65652725837,3.58474457176938,3532.9298987783,455.670910579594,CC-3-28W,2,24-Jan-25,0.1,100,75,,3843.6565272580983,19218.28263629049,1921828.2636290488,25624.376848387317,23552.865991853152,3037.8060705303096
B11,Unkn-18,29.402308251815,29.1721754865021,0.200235266020236,3009.84019098799,3.47854343711724,3532.9298987783,455.670910579594,CC-3-28W,2,24-Jan-25,0.1,100,75,,3009.840190987728,15049.200954938638,1504920.0954938638,20065.60127325152,23552.865991853152,3037.8060705303096
B12,Unkn-18,29.0764312286064,29.1721754865021,0.200235266020236,3745.29297808854,3.57348579634533,3532.9298987783,455.670910579594,CC-3-28W,2,24-Jan-25,0.1,100,75,,3745.292978088094,18726.464890440468,1872646.4890440467,24968.619853920623,23552.865991853152,3037.8060705303096
C04,Unkn-03,25.6134732074952,25.1144277553733,0.459642874593507,38229.4722982373,4.58239830326241,55086.6368382444,16039.1566466444,WC-6-16W,2,24-Jan-25,0.1,100,100,,38229.472298236426,191147.36149118212,19114736.14911821,191147.36149118212,275433.18419121514,80195.78323321932
C05,Unkn-03,25.0213876152503,25.1144277553733,0.459642874593507,56872.0610724232,4.75489896759031,55086.6368382444,16039.1566466444,WC-6-16W,2,24-Jan-25,0.1,100,100,,56872.06107242197,284360.30536210985,28436030.536210984,284360.30536210985,275433.18419121514,80195.78323321932
C06,Unkn-03,24.7084224433742,25.1144277553733,0.459642874593507,70158.3771440726,4.84607953466919,55086.6368382444,16039.1566466444,WC-6-16W,2,24-Jan-25,0.1,100,100,,70158.3771440707,350791.8857203535,35079188.57203535,350791.8857203535,275433.18419121514,80195.78323321932
C07,Unkn-11,27.2471114280751,27.1093816925981,0.120032613363156,12777.5441448025,4.10644739006249,14044.2509342998,1104.95679236774,INF21,2,24-Jan-25,0.1,100,250,,12777.544144801923,63887.72072400961,6388772.072400961,25555.088289603846,28088.5018685978,2209.9135847349207
C08,Unkn-11,27.0539599734814,27.1093816925981,0.120032613363156,14545.2413996438,4.16272093339767,14044.2509342998,1104.95679236774,INF21,2,24-Jan-25,0.1,100,250,,14545.241399642353,72726.20699821175,7272620.699821175,29090.4827992847,28088.5018685978,2209.9135847349207
C09,Unkn-11,27.0270736762379,27.1093816925981,0.120032613363156,14809.9672584532,4.17055409839367,14044.2509342998,1104.95679236774,INF21,2,24-Jan-25,0.1,100,250,,14809.967258452427,74049.83629226213,7404983.629226213,29619.934516904854,28088.5018685978,2209.9135847349207
C10,Unkn-19,26.5328505318275,26.1328963242087,0.35666797382455,20632.0847260832,4.31454311257283,27481.0706039184,6187.61812004978,WC-4-28W,2,24-Jan-25,0.1,100,100,,20632.08472608161,103160.42363040806,10316042.363040805,103160.42363040806,137405.3530195836,30938.090600247477
C11,Unkn-19,26.0180045740633,26.1328963242087,0.35666797382455,29143.4164622896,4.46454046245618,27481.0706039184,6187.61812004978,WC-4-28W,2,24-Jan-25,0.1,100,100,,29143.41646228839,145717.08231144195,14571708.231144195,145717.08231144195,137405.3530195836,30938.090600247477
C12,Unkn-19,25.8478338667353,26.1328963242087,0.35666797382455,32667.7106233825,4.51411869987273,27481.0706039184,6187.61812004978,WC-4-28W,2,24-Jan-25,0.1,100,100,,32667.710623380142,163338.5531169007,16333855.31169007,163338.5531169007,137405.3530195836,30938.090600247477
D04,Unkn-04,28.4210261457946,28.593218301564,0.150146961414465,5813.45376517269,3.7644342228393,5197.101541851,536.855824097196,INF16,2,24-Jan-25,0.1,100,250,,5813.453765172057,29067.268825860283,2906726.8825860284,11626.907530344113,10394.203083700872,1073.7116481942764
D05,Unkn-04,28.6618070626751,28.593218301564,0.150146961414465,4946.34170377075,3.69428411504511,5197.101541851,536.855824097196,INF16,2,24-Jan-25,0.1,100,250,,4946.34170377028,24731.7085188514,2473170.85188514,9892.68340754056,10394.203083700872,1073.7116481942764
D06,Unkn-04,28.6968216962223,28.593218301564,0.150146961414465,4831.50915660955,3.68408280694507,5197.101541851,536.855824097196,INF16,2,24-Jan-25,0.1,100,250,,4831.509156608971,24157.545783044854,2415754.5783044854,9663.01831321794,10394.203083700872,1073.7116481942764
D07,Unkn-12,24.1283225266011,24.8337964649132,0.856075172528174,103535.251490651,5.01508824275229,71233.6734182773,35000.850876588,WC-4-24W,2,24-Jan-25,0.1,100,100,,103535.25149064607,517676.2574532303,51767625.74532303,517676.2574532303,356168.36709137034,175004.25438293128
D08,Unkn-12,25.7861954995619,24.8337964649132,0.856075172528174,34046.8295568411,4.532076676599,71233.6734182773,35000.850876588,WC-4-24W,2,24-Jan-25,0.1,100,100,,34046.829556839315,170234.14778419657,17023414.77841966,170234.1477841966,356168.36709137034,175004.25438293128
D09,Unkn-12,24.5868713685765,24.8337964649132,0.856075172528174,76118.9392073395,4.88149272733425,71233.6734182773,35000.850876588,WC-4-24W,2,24-Jan-25,0.1,100,100,,76118.93920733684,380594.69603668415,38059469.603668414,380594.69603668415,356168.36709137034,175004.25438293128
D10,Unkn-20,23.9208098082293,23.8682465174368,0.238150602169854,118999.697128352,5.07554585605091,124339.344195368,20289.43967895,WC-5-28W,2,24-Jan-25,0.1,100,100,,118999.69712834441,594998.485641722,59499848.5641722,594998.485641722,621696.7209768206,101447.19839475822
D11,Unkn-20,23.6082053061193,23.8682465174368,0.238150602169854,146764.609748369,5.16662134410898,124339.344195368,20289.43967895,WC-5-28W,2,24-Jan-25,0.1,100,100,,146764.60974836745,733823.0487418373,73382304.87418373,733823.0487418373,621696.7209768206,101447.19839475822
D12,Unkn-20,24.0757244379617,23.8682465174368,0.238150602169854,107253.725709384,5.03041238735488,124339.344195368,20289.43967895,WC-5-28W,2,24-Jan-25,0.1,100,100,,107253.72570938052,536268.6285469026,53626862.854690254,536268.6285469026,621696.7209768206,101447.19839475822
E04,Unkn-05,21.9405701589882,21.6487630930192,0.287005486075095,449238.597205414,5.6524770624452,553128.127724868,105486.756083523,CC-1-21W,2,24-Jan-25,0.1,100,50,,449238.5972054088,2246192.986027044,224619298.60270438,4492385.972054088,5531281.277248676,1054867.5608352066
E05,Unkn-05,21.6389059720606,21.6487630930192,0.287005486075095,550003.120918966,5.74036515384704,553128.127724868,105486.756083523,CC-1-21W,2,24-Jan-25,0.1,100,50,,550003.1209189802,2750015.6045949007,275001560.45949006,5500031.2091898015,5531281.277248676,1054867.5608352066
E06,Unkn-05,21.3668131480088,21.6487630930192,0.287005486075095,660142.665050223,5.81963780213062,553128.127724868,105486.756083523,CC-1-21W,2,24-Jan-25,0.1,100,50,,660142.6650502139,3300713.3252510694,330071332.52510697,6601426.65050214,5531281.277248676,1054867.5608352066
E07,Unkn-13,23.1650124764109,23.4645100931412,0.642621691621435,197579.997420743,5.29574297542617,170985.246242883,63484.7504835866,WC-5-24W,2,24-Jan-25,0.1,100,100,,197579.99742073726,987899.9871036862,98789998.71036862,987899.9871036862,854926.231214401,317423.7524179376
E08,Unkn-13,24.2022117242073,23.4645100931412,0.642621691621435,98528.3156243209,4.99356105843861,170985.246242883,63484.7504835866,WC-5-24W,2,24-Jan-25,0.1,100,100,,98528.3156243179,492641.57812158944,49264157.81215894,492641.57812158944,854926.231214401,317423.7524179376
E09,Unkn-13,23.0263060788053,23.4645100931412,0.642621691621435,216847.425683585,5.33615427076401,170985.246242883,63484.7504835866,WC-5-24W,2,24-Jan-25,0.1,100,100,,216847.42568358552,1084237.1284179275,108423712.84179275,1084237.1284179275,854926.231214401,317423.7524179376
E10,Unkn-21,22.0018502567604,22.1983735593185,0.381105550292589,431145.110657892,5.63462346540746,385769.681024893,90602.3169583918,WC-6-28W,2,24-Jan-25,0.1,100,100,,431145.1106579006,2155725.553289503,215572555.3289503,2155725.553289503,1928848.405124455,453011.5847920037
E11,Unkn-21,22.6376269760811,22.1983735593185,0.381105550292589,281445.071194899,5.44939364748334,385769.681024893,90602.3169583918,WC-6-28W,2,24-Jan-25,0.1,100,100,,281445.0711948854,1407225.355974427,140722535.5974427,1407225.355974427,1928848.405124455,453011.5847920037
E12,Unkn-21,21.955643445114,22.1983735593185,0.381105550292589,444718.86122189,5.64808554894721,385769.681024893,90602.3169583918,WC-6-28W,2,24-Jan-25,0.1,100,100,,444718.8612218871,2223594.3061094354,222359430.61094353,2223594.3061094354,1928848.405124455,453011.5847920037
F04,Unkn-06,20.5298646122906,20.555777182482,0.365824386077064,1157384.99802311,6.06347784875674,1160190.79992537,278984.680433403,CC-2-21W,2,24-Jan-25,0.1,100,50,,1157384.9980230848,5786924.990115424,578692499.0115423,11573849.980230846,11601907.999253785,2789846.8043340584
F05,Unkn-06,20.9338689020102,20.555777182482,0.365824386077064,882619.602574725,5.94577356869864,1160190.79992537,278984.680433403,CC-2-21W,2,24-Jan-25,0.1,100,50,,882619.6025747416,4413098.012873707,441309801.28737074,8826196.025747415,11601907.999253785,2789846.8043340584
F06,Unkn-06,20.2035980331452,20.555777182482,0.365824386077064,1440567.79917829,6.15853370282198,1160190.79992537,278984.680433403,CC-2-21W,2,24-Jan-25,0.1,100,50,,1440567.7991783093,7202838.995891546,720283899.5891546,14405677.991783092,11601907.999253785,2789846.8043340584
F07,Unkn-14,23.6899002708275,23.4401870527138,0.223544662752907,138937.664850291,5.14281999533612,165483.547583723,23969.8377042862,WC-6-24W,2,24-Jan-25,0.1,100,100,,138937.66485028595,694688.3242514296,69468832.42514296,694688.3242514296,827417.7379185782,119849.18852142562
F08,Unkn-14,23.3719404937345,23.4401870527138,0.223544662752907,171971.195884034,5.2354557113483,165483.547583723,23969.8377042862,WC-6-24W,2,24-Jan-25,0.1,100,100,,171971.19588402458,859855.9794201228,85985597.94201228,859855.9794201228,827417.7379185782,119849.18852142562
F09,Unkn-14,23.2587203935794,23.4401870527138,0.223544662752907,185541.782016843,5.26844172341789,165483.547583723,23969.8377042862,WC-6-24W,2,24-Jan-25,0.1,100,100,,185541.78201683646,927708.9100841823,92770891.00841823,927708.9100841823,827417.7379185782,119849.18852142562
F10,Unkn-22,28.7383341758217,29.0985352965233,0.322083970080319,4698.81546559692,3.67198838951185,3749.56173955688,840.705154954554,INF28,2,24-Jan-25,0.1,100,250,,4698.815465596495,23494.077327982475,2349407.7327982476,9397.63093119299,7499.123479113048,1681.4103099089373
F11,Unkn-22,29.3588196973076,29.0985352965233,0.322083970080319,3098.94288732576,3.4912135723839,3749.56173955688,840.705154954554,INF28,2,24-Jan-25,0.1,100,250,,3098.9428873255506,15494.714436627752,1549471.4436627752,6197.885774651101,7499.123479113048,1681.4103099089373
F12,Unkn-22,29.1984520164407,29.0985352965233,0.322083970080319,3450.92686574795,3.53793575554224,3749.56173955688,840.705154954554,INF28,2,24-Jan-25,0.1,100,250,,3450.9268657475277,17254.634328737637,1725463.4328737636,6901.8537314950545,7499.123479113048,1681.4103099089373
G04,Unkn-07,24.9023538796376,25.0101397032401,0.483147484264127,61599.7214404505,4.78957874824967,59257.4969838521,17988.2976175973,CC-3-21W,2,24-Jan-25,0.1,100,50,,61599.721440449706,307998.60720224853,30799860.720224854,615997.2144044971,592574.9698385074,179882.976175974
G05,Unkn-07,25.5380770789089,25.0101397032401,0.483147484264127,40212.8193690543,4.604364523078,59257.4969838521,17988.2976175973,CC-3-21W,2,24-Jan-25,0.1,100,50,,40212.81936905262,201064.09684526306,20106409.684526306,402128.1936905261,592574.9698385074,179882.976175974
G06,Unkn-07,24.5899881511737,25.0101397032401,0.483147484264127,75959.9501420515,4.88058467100654,59257.4969838521,17988.2976175973,CC-3-21W,2,24-Jan-25,0.1,100,50,,75959.95014204991,379799.75071024953,37979975.071024954,759599.5014204991,592574.9698385074,179882.976175974
G07,Unkn-15,26.9506575848412,26.9766752274817,0.107471786489379,15588.9720501331,4.1928174783913,15345.5823029224,1091.96373080033,INF24,2,24-Jan-25,0.1,100,250,,15588.97205013237,77944.86025066185,7794486.025066185,31177.94410026474,30691.164605842914,2183.9274616014714
G08,Unkn-15,27.0947673328903,26.9766752274817,0.107471786489379,14152.4604077248,4.15083194859597,15345.5823029224,1091.96373080033,INF24,2,24-Jan-25,0.1,100,250,,14152.460407723436,70762.30203861717,7076230.203861717,28304.92081544687,30691.164605842914,2183.9274616014714
G09,Unkn-15,26.8846007647135,26.9766752274817,0.107471786489379,16295.3144509091,4.21206274546867,15345.5823029224,1091.96373080033,INF24,2,24-Jan-25,0.1,100,250,,16295.31445090857,81476.57225454284,8147657.225454284,32590.628901817134,30691.164605842914,2183.9274616014714
G10,Unkn-23,25.2928325706898,25.0028210178004,0.392699944691132,47404.0090132744,4.67581507202678,58983.9757455324,16372.2436508613,CC-1-31W,2,24-Jan-25,0.1,100,25,,47404.00901327294,237020.0450663647,23702004.50663647,948080.1802654588,1179679.5149105901,327444.87301718723
G11,Unkn-23,24.5559324479517,25.0028210178004,0.392699944691132,77715.3129829925,4.89050660038112,58983.9757455324,16372.2436508613,CC-1-31W,2,24-Jan-25,0.1,100,25,,77715.31298298741,388576.564914937,38857656.4914937,1554306.259659748,1179679.5149105901,327444.87301718723
G12,Unkn-23,25.1596980347597,25.0028210178004,0.392699944691132,51832.6052403303,4.71460303814813,58983.9757455324,16372.2436508613,CC-1-31W,2,24-Jan-25,0.1,100,25,,51832.605240328165,259163.0262016408,25916302.62016408,1036652.1048065632,1179679.5149105901,327444.87301718723
H04,Unkn-08,24.1785470293223,23.8992228419873,0.58845876845601,100104.967387834,5.00045562848431,127550.413262502,54238.293758293,WC-4-21W,2,24-Jan-25,0.1,100,100,,100104.96738782868,500524.8369391434,50052483.69391434,500524.83693914337,637752.0663124839,271191.4687914524
H05,Unkn-08,24.2960001400035,23.8992228419873,0.58845876845601,92520.1554154126,4.96623635362733,127550.413262502,54238.293758293,WC-4-21W,2,24-Jan-25,0.1,100,100,,92520.15541540996,462600.7770770498,46260077.707704976,462600.7770770498,637752.0663124839,271191.4687914524
H06,Unkn-08,23.2231213566361,23.8992228419873,0.58845876845601,190026.11698426,5.27881329401948,127550.413262502,54238.293758293,WC-4-21W,2,24-Jan-25,0.1,100,100,,190026.1169842517,950130.5849212585,95013058.49212585,950130.5849212585,637752.0663124839,271191.4687914524
H07,Unkn-16,36.6908639098311,36.1587130911472,0.469857693163632,22.6498587682708,1.35506549834215,33.3934314497547,9.60311784359208,CC-1-28W,2,24-Jan-25,0.1,100,100,,22.649858768267066,113.24929384133533,11324.929384133533,113.24929384133533,166.96715724874534,48.015589217953526
H08,Unkn-16,35.9841684496136,36.1587130911472,0.469857693163632,36.3879069470913,1.56095707544138,33.3934314497547,9.60311784359208,CC-1-28W,2,24-Jan-25,0.1,100,100,,36.38790694708417,181.93953473542084,18193.953473542082,181.9395347354208,166.96715724874534,48.015589217953526
H09,Unkn-16,35.8011069139969,36.1587130911472,0.469857693163632,41.1425286339019,1.6142909800666,33.3934314497547,9.60311784359208,CC-1-28W,2,24-Jan-25,0.1,100,100,,41.142528633895985,205.71264316947992,20571.264316947992,205.71264316947992,166.96715724874534,48.015589217953526
H10,Unkn-24,21.953796313985,21.7577024456697,0.448321792706093,445270.270852579,5.64862369976701,524121.646322891,167483.429411828,CC-2-31W,2,24-Jan-25,0.1,100,40,,445270.2708525701,2226351.3542628502,222635135.42628503,5565878.385657126,6551520.579036142,2093542.8676480479
H11,Unkn-24,22.0745685456795,21.7577024456697,0.448321792706093,410617.465924394,5.61343741847164,524121.646322891,167483.429411828,CC-2-31W,2,24-Jan-25,0.1,100,40,,410617.46592438454,2053087.3296219227,205308732.96219227,5132718.3240548065,6551520.579036142,2093542.8676480479
H12,Unkn-24,21.2447424773445,21.7577024456697,0.448321792706093,716477.2021917,5.85520237600362,524121.646322891,167483.429411828,CC-2-31W,2,24-Jan-25,0.1,100,40,,716477.2021917193,3582386.0109585966,358238601.09585965,8955965.02739649,6551520.579036142,2093542.8676480479
